0.00E+00	3.62E+01
3.33E-02	1.75E+01
6.67E-02	-9.65E+00
1.00E-01	-2.81E+01
1.33E-01	-2.50E+01
1.67E-01	-3.65E+00
2.00E-01	2.38E+01
2.33E-01	3.79E+01
2.67E-01	3.32E+01
3.00E-01	8.66E+00
3.33E-01	-1.85E+01
3.67E-01	-2.69E+01
4.00E-01	-1.52E+01
4.33E-01	9.62E+00
4.67E-01	3.37E+01
5.00E-01	3.56E+01
5.33E-01	1.58E+01
5.67E-01	-1.11E+01
6.00E-01	-2.85E+01
6.33E-01	-2.62E+01
6.67E-01	-3.74E+00
7.00E-01	2.39E+01
7.33E-01	3.51E+01
7.67E-01	2.84E+01
8.00E-01	1.15E+00
8.33E-01	-2.30E+01
8.67E-01	-2.78E+01
9.00E-01	-1.51E+01
9.33E-01	1.12E+01
9.67E-01	3.45E+01
1.00E+00	3.78E+01
