0.00E+00	4.22E+01
3.33E-02	4.12E+01
6.67E-02	2.46E+01
1.00E-01	0.00E+00
1.33E-01	-2.40E+01
1.67E-01	-3.39E+01
2.00E-01	-2.90E+01
2.33E-01	-8.26E+00
2.67E-01	2.07E+01
3.00E-01	4.09E+01
3.33E-01	3.89E+01
3.67E-01	1.93E+01
4.00E-01	-8.78E+00
4.33E-01	-2.68E+01
4.67E-01	-3.43E+01
5.00E-01	-2.91E+01
5.33E-01	-8.00E+00
5.67E-01	2.17E+01
6.00E-01	4.11E+01
6.33E-01	3.87E+01
6.67E-01	2.03E+01
7.00E-01	-4.90E+00
7.33E-01	-2.79E+01
7.67E-01	-3.36E+01
8.00E-01	-2.66E+01
8.33E-01	-3.01E+00
8.67E-01	2.39E+01
9.00E-01	4.25E+01
